alpha_id,formula,transpiled,status,sharpe,cagr,max_dd,trades,win_rate,pnl,non_zero_pos_pct,error
Alpha#31,"((rank(rank(rank(decay_linear((-1 * rank(rank(delta(close, 10)))), 10)))) + rank((-1 * delta(close, 3)))) + sign(scale(correlation(adv20, low, 12))))","(rank(rank(rank(decay_linear((-1 * rank(rank(delta(close, 10)))), 10)))) + rank(-1 * delta(close, 3))) + sign(scale(correlation(adv20, low, 12)))",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#32,"(scale(((sum(close, 7) / 7) - close)) + (20 * scale(correlation(vwap, delay(close, 5), 230))))","scale((sum_(close, 7) / 7) - close) + (20 * scale(correlation(vwap, delay(close, 5), 230)))",SUCCESS,-3.3613452096237144,0.0,-679.5624839759219,33216,48.932020802377416,-4955846000.000009,98.85265879975032,
Alpha#33,rank((-1 * ((1 - (open / close))^1))),rank(-1 * ((1 - (open_ / close))**1)),SUCCESS,-0.36800857591598246,0.0,-129.3766453769192,31501,51.05079365079364,2987978000.000071,99.5898106589781,
Alpha#34,"rank(((1 - rank((stddev(returns, 2) / stddev(returns, 5)))) + (1 - rank(delta(close, 1)))))","rank((1 - rank(stddev(returns, 2) / stddev(returns, 5))) + (1 - rank(delta(close, 1))))",SUCCESS,-1.3481044227794203,0.0,-356.55510189462933,31423,49.46530872056015,122794000.00002925,98.8645483458669,
Alpha#35,"((Ts_Rank(volume, 32) * (1 - Ts_Rank(((close + high) - low), 16))) * (1 - Ts_Rank(returns, 32)))","(Ts_Rank(volume, 32) * (1 - Ts_Rank(((close + high) - low), 16))) * (1 - Ts_Rank(returns, 32))",SUCCESS,-2.849978560478179,0.0,-944.3835572893629,32304,49.34041888090028,-5796715999.999938,99.55414202062836,
Alpha#36,"(((((2.21 * rank(correlation((close - open), delay(volume, 1), 15))) + (0.7 * rank((open - close)))) + (0.73 * rank(Ts_Rank(delay((-1 * returns), 6), 5)))) + rank(abs(correlation(vwap, adv20, 6)))) + (0.6 * rank((((sum(close, 200) / 200) - open) * (close - open)))))","((((2.21 * rank(correlation((close - open_), delay(volume, 1), 15))) + (0.7 * rank(open_ - close))) + (0.73 * rank(Ts_Rank(delay((-1 * returns), 6), 5)))) + rank(abs(correlation(vwap, adv20, 6)))) + (0.6 * rank(((sum_(close, 200) / 200) - open_) * (close - open_)))",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#37,"(rank(correlation(delay((open - close), 1), close, 200)) + rank((open - close)))","rank(correlation(delay((open_ - close), 1), close, 200)) + rank(open_ - close)",SUCCESS,-0.7545245528529921,0.0,-167.75968884169552,32011,49.11417639304202,1259604000.0000365,99.05180869720299,
Alpha#38,"((-1 * rank(Ts_Rank(close, 10))) * rank((close / open)))","(-1 * rank(Ts_Rank(close, 10))) * rank(close / open_)",SUCCESS,-2.1305142009356457,0.0,-624.9290317154157,32896,49.95076923076923,-1789461999.999964,99.5898106589781,
Alpha#39,"((-1 * rank((delta(close, 7) * (1 - rank(decay_linear((volume / adv20), 9)))))) * (1 + rank(sum(returns, 250))))","(-1 * rank(delta(close, 7) * (1 - rank(decay_linear((volume / adv20), 9))))) * (1 + rank(sum_(returns, 250)))",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#40,"((-1 * rank(stddev(high, 10))) * correlation(high, volume, 10))","(-1 * rank(stddev(high, 10))) * correlation(high, volume, 10)",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#41,(((high * low)^0.5) - vwap),((high * low)**0.5) - vwap,SUCCESS,-0.1595865275634171,-10.687554662946685,-91.57769975865035,33253,47.480358458138966,2745419999.999983,99.5898106589781,
Alpha#42,(rank((vwap - close)) / rank((vwap + close))),rank(vwap - close) / rank(vwap + close),SUCCESS,-4.216114851574425,0.0,-1782.832200000002,30809,49.07292144401494,-11815632000.000008,99.5898106589781,
Alpha#43,"(ts_rank((volume / adv20), 20) * ts_rank((-1 * delta(close, 7)), 8)) 11","ts_rank((volume / adv20), 20) * ts_rank((-1 * delta(close, 7)), 8)",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#44,"(-1 * correlation(high, rank(volume), 5))","-1 * correlation(high, rank(volume), 5)",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#45,"(-1 * ((rank((sum(delay(close, 5), 20) / 20)) * correlation(close, volume, 2)) * rank(correlation(sum(close, 5), sum(close, 20), 2))))","-1 * ((rank(sum_(delay(close, 5), 20) / 20) * correlation(close, volume, 2)) * rank(correlation(sum_(close, 5), sum_(close, 20), 2)))",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#46,"((0.25 < (((delay(close, 20) - delay(close, 10)) / 10) - ((delay(close, 10) - close) / 10))) ? (-1 * 1) : (((((delay(close, 20) - delay(close, 10)) / 10) - ((delay(close, 10) - close) / 10)) < 0) ? 1 : ((-1 * 1) * (close - delay(close, 1)))))","where(0.25 < (((delay(close, 20) - delay(close, 10)) / 10) - ((delay(close, 10) - close) / 10)), -1 * 1, where((((delay(close, 20) - delay(close, 10)) / 10) - ((delay(close, 10) - close) / 10)) < 0, 1, (-1 * 1) * (close - delay(close, 1))))",SUCCESS,-1.5140261895184488,0.0,-341.79069873758306,9722,50.93999774850839,-2960588000.000005,99.6433136165027,
