Alpha,Timeframe,Total Trades,Win Rate,Return %,Sharpe,Max Drawdown %,PnL
31,5m,12981,55.51531613097933,-137.67999999999338,-0.4376467554538712,-173.89362889721124,-1590719999.9999995
31,10m,7053,56.47123893805309,-4.767999999999006,-0.015560348112381571,-74.05316736623706,-867839999.9999976
31,15m,4680,53.062913907284766,-233.52800000000232,-0.7969812127253671,-233.71667936024645,-579840000.0000005
31,30m,2410,52.741935483870975,-238.0399999999994,-0.7400715391879567,-225.55961357210222,-297599999.99999857
31,60m,1288,52.63157894736842,-319.9140000000002,-0.8971627492714325,-309.66132902945134,-167579999.99999952
32,1m,64297,62.04785754034502,-1825.0079999999703,-6.335926404650668,-1818.9572704081338,-7763040000.000164
32,3m,19819,61.562934977132635,-859.2239999999922,-2.9496243647296407,-842.4737912689627,-2413920000.000002
32,5m,11818,59.24870031863156,-902.2879999999919,-3.542912333666746,-902.287999999992,-1428559999.9999962
32,10m,6288,59.91800693787449,-635.6297999999979,-2.5323574049992663,-586.7261024804657,-742014000.0
32,15m,4413,58.75224416517055,-620.8466000000005,-2.171394969713387,-600.1359695028846,-548088000.0000067
32,30m,2298,55.51724137931034,-748.2399999999998,-2.6576973702149247,-731.1239193083564,-278400000.00000095
32,60m,1388,61.08726752503576,-320.25399999999905,-0.7743036521039143,-321.419999999999,-230670000.00000572
33,1m,0,0.0,0.0,0.0,0.0,0.0
33,3m,0,0.0,0.0,0.0,0.0,0.0
33,5m,0,0.0,0.0,0.0,0.0,0.0
33,10m,0,0.0,0.0,0.0,0.0,0.0
33,15m,0,0.0,0.0,0.0,0.0,0.0
33,30m,0,0.0,0.0,0.0,0.0,0.0
33,60m,0,0.0,0.0,0.0,0.0,0.0
34,1m,157958,50.60942700368805,-3796.1279999999897,-12.571143326886588,-3845.265888456537,-21344640000.000656
34,3m,53201,50.632233893088916,-1673.6559999999813,-6.256231298089654,-1676.1778846153668,-7174800000.000002
34,5m,32731,50.909979898951484,-1214.199999999995,-4.166127178425316,-1214.199999999995,-4417920000.000071
34,10m,17470,53.304729798753705,-144.87199999999936,-0.5291509740193734,-143.5447558419371,-2349360000.000005
34,15m,12285,52.766019559188436,-105.75199999999793,-0.3486332794410445,-103.6353524117693,-1644479999.9999976
34,30m,6242,50.20114942528736,-393.7600000000011,-1.427471945990515,-326.3557816042653,-835199999.9999952
34,60m,3459,52.75181723779855,-424.87479999999846,-1.2988891337937485,-340.40906586214896,-474042000.0000005
35,1m,51120,57.495797662327504,-843.9519999999688,-4.211862387125148,-837.9304872242185,-6139679999.999992
35,3m,17015,56.99366345928186,-569.9599999999898,-2.713694289160651,-572.65599999999,-2045519999.9999914
35,5m,10484,56.41318848866018,-428.79999999999603,-2.2254090396916912,-428.79999999999603,-1259519999.9999995
35,10m,5856,58.210993513144416,-121.2159999999995,-0.6650409555277812,-119.21182266009811,-703200000.0000017
35,15m,4079,56.3235294117647,-249.42760000000038,-1.3480206780115278,-249.78456197475728,-502086000.00000167
35,30m,2367,52.44932432432432,-353.02020000000095,-1.9330790158691358,-353.1901732750558,-277056000.0
35,60m,1229,51.61812297734628,-268.1531999999993,-1.0791114050492574,-273.31840846646924,-155735999.99999905
36,1m,97539,51.4752774974773,-2133.799999999981,-7.337427252516921,-2133.799999999981,-11892000000.000406
36,3m,33226,51.776949914256996,-785.2719999999846,-2.8412781117078914,-712.2606458988153,-4060079999.999991
36,5m,20300,51.86044264037886,-319.4559999999952,-1.1329551552292916,-221.8640535627161,-2483279999.999998
36,10m,11069,52.69959284829173,-291.05600000000015,-1.0611577194535358,-297.8578714722885,-1359200000.0000014
36,15m,7785,51.29048582995951,-322.70159999999925,-1.1502845369975139,-232.62775071546878,-924767999.9999928
36,30m,3910,52.16952573158425,-234.84799999999825,-0.8299207820302992,-208.367828939681,-487818000.0000038
36,60m,2081,50.47348484848485,-202.08240000000265,-0.47870544225631506,-163.28930900021368,-329472000.00000215
37,1m,120689,53.29243683913148,-2494.999999999967,-9.512765415338452,-2494.999999999967,-14866800000.00074
37,3m,40322,54.010540057051685,-1372.943999999982,-5.57892371237808,-1366.1573963555168,-4963920000.000132
37,5m,24521,54.72043267318858,-833.1839999999836,-3.0290942889043304,-838.4319999999839,-3017519999.9999933
37,10m,13302,57.594007050528795,175.77600000000592,0.6312179711836625,-69.42093910735001,-1633919999.9999986
37,15m,9180,56.87819420783645,-174.7667999999995,-0.6586170439821123,-154.5910136464866,-1098864000.000001
37,30m,4600,52.752880921895006,-656.459199999998,-2.1920433283665517,-619.6224913718902,-580313999.9999981
37,60m,2475,55.847255369928405,-365.4750000000008,-0.8543553016225748,-235.23059793510836,-421190000.0000024
38,1m,129407,53.45191659090243,-3368.7919999999863,-13.08437777519842,-3406.619729707846,-16366560000.000324
38,3m,43454,53.56816699282453,-1634.639999999984,-5.84787797407979,-1634.0263894442091,-5518800000.000019
38,5m,26479,53.04044431785816,-1173.9919999999904,-4.794077318443644,-1173.9919999999904,-3370560000.0000353
38,10m,14137,56.995093488927196,-110.96799999999385,-0.449031358959231,-110.92036242250313,-1809839999.9999976
38,15m,9816,54.73623411628803,-699.9520000000007,-2.293694591378046,-596.0540184453239,-1246560000.0
38,30m,4979,50.820924016800305,-845.9919999999976,-2.9982921783832035,-623.5471951629135,-628559999.9999962
38,60m,2810,53.64061456245825,-358.0560000000012,-1.1061971664794257,-308.70320339637294,-359280000.0000024
39,1m,77339,54.96107747436055,-2721.2799999999947,-10.003167431869985,-2721.2799999999947,-9711600000.000092
39,3m,25633,56.270834876657524,-1053.5359999999873,-3.7254963753621566,-1053.3072062704825,-3240000000.000016
39,5m,15154,55.8719311566692,-671.3359999999952,-2.183953197245813,-676.8479999999947,-1896480000.000021
39,10m,7704,57.902697252331734,-174.77459999999746,-0.6514279339463359,-140.15255967366468,-928278000.0000013
39,15m,6046,56.597110754414125,-415.31999999999886,-1.311995675181472,-239.53676651765215,-747599999.999999
39,30m,3233,53.925120772946855,-489.9919999999991,-1.5898311627511872,-353.3073525591055,-397679999.9999962
39,60m,1675,56.29370629370629,-85.83879999999941,-0.2008781767431098,-131.35910019726785,-272844000.0
40,1m,41747,51.39001093000047,-1100.143999999999,-4.3828848912181675,-1107.8845533698795,-5050320000.000062
40,3m,14800,51.72090531672693,-187.9199999999998,-0.7007614434184519,-200.52599939885738,-1792319999.999999
40,5m,9338,49.025423728813564,-561.1600000000033,-2.0123697767588293,-468.3493185260004,-1132799999.9999962
40,10m,5350,45.50810014727541,-661.488000000001,-2.464699947733848,-452.9073546322687,-651840000.0000105
40,15m,4048,47.19375305026842,-544.696,-2.167781171655976,-552.6720000000001,-492000000.0000067
40,30m,2438,46.89984101748807,-282.1439999999987,-1.1534198644158489,-250.28838053269277,-301919999.9999976
40,60m,1455,46.38069705093834,-272.6480000000005,-0.9622564096913332,-284.279763209822,-179040000.0000038
41,1m,0,0.0,0.0,0.0,0.0,0.0
41,3m,0,0.0,0.0,0.0,0.0,0.0
41,5m,0,0.0,0.0,0.0,0.0,0.0
41,10m,0,0.0,0.0,0.0,0.0,0.0
41,15m,0,0.0,0.0,0.0,0.0,0.0
41,30m,0,0.0,0.0,0.0,0.0,0.0
41,60m,0,0.0,0.0,0.0,0.0,0.0
42,1m,39054,64.7470618293306,-915.839999999976,-4.545997321616034,-908.7873740978441,-4696799999.999937
42,3m,13387,64.52813337302769,-474.34399999998664,-2.2902070799420042,-482.6747961041952,-1612320000.000001
42,5m,7705,64.34288665117481,-552.1039999999916,-2.4704885413991424,-555.487999999992,-929520000.0000114
42,10m,3975,64.77955911823648,-282.992,-1.1768656845253842,-283.662126193831,-479280000.0000081
42,15m,2801,62.97085998578535,-363.9759999999989,-1.6034467893120612,-355.67437307026074,-337680000.0000057
42,30m,1397,61.965811965811966,-265.16099999999864,-1.1225226759662947,-277.8349149550408,-168011999.9999962
42,60m,762,56.6579634464752,-257.66399999999976,-0.9361670114511526,-262.3519999999999,-91919999.99999952
44,1m,89583,50.27226380301551,-1973.1439999999925,-6.725917970034721,-1975.9955131800268,-11063040000.000118
44,3m,32329,51.29955683315367,-503.7279999999951,-1.8355042235760608,-501.44777662874367,-4007759999.99999
44,5m,19449,51.158858052322685,-301.22399999999965,-1.1055866354400183,-303.2240000000001,-2412720000.000003
44,10m,10395,50.296515937731655,-392.8879999999993,-1.2659229340043643,-235.88316074676192,-1295039999.999998
44,15m,7310,48.555526106546516,-485.3006000000005,-1.5480255234612768,-335.5976270286871,-928158000.0000005
44,30m,3961,45.92085979482169,-441.0160000000019,-1.8123097991308,-378.21203661624514,-491280000.0
44,60m,2439,48.80952380952381,-233.31999999999863,-0.7267897521165213,-207.83764870538727,-302400000.0000024
45,1m,992,45.52352048558422,-93.77759999999942,-1.4357385172486157,-95.22049233475124,-166068000.00000036
45,3m,801,44.801512287334596,-49.64000000000027,-0.680605607730032,-53.491308148004535,-158700000.00000006
45,5m,937,45.924764890282134,-9.863999999999773,-0.11824213047154497,-23.97599999999994,-153119999.99999893
45,10m,465,41.74454828660436,-67.12440000000093,-0.9658404639845972,-72.5166408668739,-80892000.00000107
45,15m,229,43.94904458598726,-35.212800000000186,-0.6689541979044591,-44.385057388912266,-39564000.0000003
45,30m,191,45.98540145985402,-47.5199999999995,-0.5033471898940267,-55.260017050298046,-41099999.999999404
45,60m,672,45.83333333333333,-23.706199999999477,-0.1585157539324709,-39.870505624963734,-112175999.99999973
47,1m,65908,57.07692307692308,-1515.3999999999621,-6.164916585620363,-1528.3119399369941,-7956000000.000282
47,3m,23004,57.298136645962735,-875.3759999999762,-3.5277969502794235,-869.503712387629,-2782079999.999996
47,5m,14085,56.391506117283086,-827.7679999999849,-3.0881917038012765,-828.2319999999846,-1706639999.9999971
47,10m,7253,56.08825932988286,-610.8479999999945,-2.2333445622676753,-432.2762837452684,-881039999.999999
47,15m,5346,55.522718876985586,-610.0143999999991,-2.1864883616978648,-604.6497484593848,-665921999.9999971
47,30m,3156,50.90909090909091,-571.9199999999983,-2.1147661988727156,-443.807521872513,-382799999.99999905
47,60m,1689,54.99412455934195,-300.60380000000066,-0.9273047689345906,-277.0637084456317,-209591999.99999952
50,1m,18781,46.08216857263871,-760.664800000002,-3.6374591728246832,-752.4968227279562,-2323224000.0000076
50,3m,7385,49.15345337274926,-30.607999999996792,-0.12746403297207703,-132.12353471595728,-893040000.0000005
50,5m,3728,48.21142552055526,-27.781600000001216,-0.12619849752262105,-64.90033546444035,-460757999.9999968
50,10m,2427,51.26737530662305,-133.87920000000193,-0.5560317181226195,-152.83454193889708,-308195999.9999994
50,15m,1575,51.010101010101,-4.2839999999991445,-0.01472342906476134,-90.76285884578704,-238067999.99999943
50,30m,586,48.80546075085324,-64.76360000000005,-0.31628481398138825,-85.26193488973102,-72078000.0000006
50,60m,329,56.96969696969697,-40.473999999999975,-0.13979594351383245,-128.98855771812683,-58409999.99999988
52,1m,51372,51.08855091484599,-1346.9679999999917,-5.450867955731096,-1346.9679999999917,-6217440000.000019
52,3m,16452,50.84195333172962,-648.7519999999984,-2.4511847939194116,-640.8736103445538,-1995360000.0000048
52,5m,10285,49.55649826455842,-520.6479999999976,-2.5072048899529817,-512.044510618288,-1244640000.0000005
52,10m,5341,49.479553903345725,-339.2999999999994,-1.7665084480974929,-343.11350014460464,-629459999.9999967
52,15m,3969,49.17458729364682,-202.09140000000235,-0.9319516777924723,-193.99703100508734,-515742000.0000007
52,30m,2137,49.67622571692877,-188.6492000000001,-0.9060909926832073,-198.03274235715335,-265925999.9999988
52,60m,1365,51.01156069364162,82.6268000000002,0.24103771929507167,-138.47783200899173,-240816000.00000095
53,1m,11,14.285714285714285,-2.4092000000000335,-0.47434164902525705,-2.4092000000000358,-1595999.9999999255
53,3m,2,100.0,1.1542000000000385,0.47434164902525694,0.0,-174000.00000003725
53,5m,0,0.0,0.0,0.0,0.0,0.0
53,10m,0,0.0,0.0,0.0,0.0,0.0
53,15m,0,0.0,0.0,0.0,0.0,0.0
53,30m,0,0.0,0.0,0.0,0.0,0.0
