Timestamp,Strategy,Initial Capital,Net Equity,Total Profit,Total Fees,Total Trades,Largest Win,Largest Loss,Avg Win,Avg Loss,Unrealized PnL,Cumulative Return,CAGR,Win Rate,Profit Factor (PF),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Payoff Ratio,Volatility,Max Drawdown,Recovery Factor,Kelly Criterion,Omega Ratio,Ulcer Index,VaR,CVaR
2026-06-16 12:41:22,Mcts_Dema_ec25_1m.py,1.000.000.000 ₫,3.911.296.000 ₫,+287.26%,+60.23%,6271,+8.70%,-6.12%,+0.05%,-0.04%,2.911.296.000 ₫,+287.26%,+57.51%,+54.13%,1.65,2.51,4.77,6.47,1.4,0.19,-8.89%,32.3,+21.36%,1.65,0.02,-1.73%,-2.14%
2026-06-16 12:42:35,Mcts_Dema_Tema_805f_1m.py,1.000.000.000 ₫,3.204.608.000 ₫,+219.41%,+50.38%,5998,+3.57%,-5.74%,+0.05%,-0.05%,2.204.608.000 ₫,+219.41%,+47.65%,+53.87%,1.51,2.2,3.72,4.97,1.29,0.19,-9.58%,22.89,+18.11%,1.51,0.03,-1.76%,-2.36%
2026-06-16 12:43:42,Mcts_Ema_8f23_1m.py,1.000.000.000 ₫,3.414.468.000 ₫,+238.02%,+42.07%,5005,+8.60%,-6.05%,+0.05%,-0.04%,2.414.468.000 ₫,+238.02%,+50.48%,+54.27%,1.55,2.28,4.1,5.25,1.31,0.19,-9.61%,24.77,+19.27%,1.55,0.02,-1.80%,-2.21%
2026-06-16 12:44:49,Mcts_Ema_9cca_1m.py,1.000.000.000 ₫,3.517.408.000 ₫,+247.77%,+65.83%,6850,+3.69%,-6.22%,+0.05%,-0.05%,2.517.408.000 ₫,+247.77%,+51.93%,+54.40%,1.56,2.2,4.11,5.14,1.31,0.19,-10.09%,24.55,+19.47%,1.56,0.03,-1.76%,-2.28%
2026-06-16 12:45:32,Mcts_Ema_Sma_4f71_10m.py,1.000.000.000 ₫,1.321.088.000 ₫,+32.11%,+2.44%,509,+4.30%,-5.48%,+0.15%,-0.14%,321.088.000 ₫,+32.11%,+9.79%,+49.62%,1.14,0.59,0.99,0.55,1.16,0.16,-17.88%,1.8,+6.07%,1.14,0.07,-1.64%,-2.30%
2026-06-16 12:47:14,Mcts_Ema_Sma_4f71_10m.py,1.000.000.000 ₫,1.321.088.000 ₫,+32.11%,+2.44%,509,+4.30%,-5.48%,+0.15%,-0.14%,321.088.000 ₫,+32.11%,+9.79%,+49.62%,1.14,0.59,0.99,0.55,1.16,0.16,-17.88%,1.8,+6.07%,1.14,0.07,-1.64%,-2.30%
2026-06-16 12:48:06,Mcts_Natr_6d33_15m.py,1.000.000.000 ₫,1.738.976.000 ₫,+73.90%,+10.17%,1054,+6.77%,-5.37%,+0.27%,-0.23%,738.976.000 ₫,+73.90%,+20.40%,+48.73%,1.19,0.66,1.35,0.82,1.25,0.25,-24.74%,2.99,+7.62%,1.19,0.1,-2.55%,-3.38%
2026-06-16 12:48:59,Mcts_Natr_a743_15m.py,1.000.000.000 ₫,1.989.884.000 ₫,+98.99%,+6.88%,816,+6.47%,-4.81%,+0.24%,-0.21%,989.884.000 ₫,+98.99%,+25.97%,+48.89%,1.25,0.97,1.78,1.49,1.31,0.23,-17.39%,5.69,+9.76%,1.25,0.06,-2.30%,-3.12%
2026-06-16 12:49:42,Mcts_Rolling_rank_Tema_8587_15m.py,1.000.000.000 ₫,2.411.940.000 ₫,+141.19%,+34.84%,5145,+4.00%,-5.75%,+0.21%,-0.13%,1.411.940.000 ₫,+141.19%,+34.37%,+51.88%,1.34,1.89,2.42,1.78,1.24,0.2,-19.29%,7.32,+13.05%,1.34,0.05,-1.95%,-2.78%
2026-06-16 12:50:24,Mcts_Rsi_2a59_10m.py,1.000.000.000 ₫,3.563.440.000 ₫,+256.34%,+54.34%,4496,+6.71%,-7.59%,+0.26%,-0.14%,2.563.440.000 ₫,+256.34%,+53.17%,+49.67%,1.47,2.1,3.23,2.36,1.49,0.25,-22.52%,11.38,+15.78%,1.47,0.04,-2.36%,-3.07%
